wikidata_id,musicbrainz_id,name,parent_wikidata_id,parent_name,level,children_direct,descendants_total,display_rule,epoch_year,origin,bpm_min,bpm_max,parent_choice,wikidata_parents_raw,wikipedia_links
Q109378734,afadfd9d-e7f3-48cc-89b7-e73eb04bc395,popcorn music,Q20502,house music,3,0,0,ring,2007,,,,single,Eastern European pop | dance-pop | electronic pop | house music,3
Q106634944,3a50f3eb-f0fd-49e2-b51c-e79df3e025c1,festival progressive house,Q20502,house music,3,0,0,ring,2008,Sweden,,,single,house music,0
Q15300817,d4b71a23-7dc0-4291-9a8d-a27d5dbbf9f2,big room house,Q20502,house music,3,0,0,ring,2009,,,,single,house music,15
Q109148913,640fb6e1-c2b9-40be-bbd0-4da3c4d4832c,organic house,Q20502,house music,3,0,0,ring,2009,,,,single,house music,2
Q119438497,682002e1-0573-4162-8708-369aced0ef97,UK jackin',Q20502,house music,3,0,0,ring,2009,,,,single,house music,0
Q80725127,4cc411c2-ec68-4aeb-8af5-d690e96eba88,future funk,Q20502,house music,3,0,0,ring,2010,,,,single,house music | vaporwave,4
Q18358879,09a7573a-1bf2-4f8e-aadb-b582780746a0,outsider house,Q20502,house music,3,0,0,ring,2010,United States,,,single,house music,5
Q110101956,e5145fb2-e796-462d-bd53-fff2feedc996,eletrofunk,Q20502,house music,3,0,0,ring,2011,,,,single,Brazilian funk | house music,0
Q85741139,de3f8f85-1d8a-499f-9a1e-edad65a26dad,Amapiano,Q20502,house music,3,1,1,ring,2012,South Africa,,,single,house music | music of South Africa,16
Q116745991,d42b567f-0952-424b-959d-bee6e5961cc0,Afropiano,Q85741139,Amapiano,4,0,0,ring,2020,,,,single,Afrobeats | Amapiano,0
Q27345019,2d5cd6af-6195-4d12-9788-9a9b03ac0a12,bass house,Q20502,house music,3,1,1,ring,2012,,,,single,bass music (EDM) | house music,6
Q114878571,78431be5-9128-409d-b9e4-e145f8065a25,speed house,Q27345019,bass house,4,0,0,ring,2017,,,,single,bass house | hard dance,0
Q85748774,47df9270-9259-4a60-ac10-086982b8622e,Brazilian bass,Q20502,house music,3,1,1,ring,2012,,,,single,house music,4
Q122474184,0c74e40a-9ef1-4214-ba4b-7143802c5bfc,mega funk,Q85748774,Brazilian bass,4,0,0,ring,,,,,single,Brazilian bass | Brazilian funk,0
Q29973057,51183839-ce7a-4d3b-9e04-78bd9de8c8d5,gqom,Q20502,house music,3,0,0,ring,2012,South Africa,,,single,house music | music of South Africa,8
Q18342587,fb56e5c9-2063-4664-9293-b4aa369d5286,tropical house,Q20502,house music,3,0,0,ring,2012,Europe,,,single,house music,24
Q20021059,593ac826-8e72-4544-abc1-53192b683751,future house,Q20502,house music,3,2,2,ring,2013,United Kingdom,,,single,house music,15
Q106634926,499b4153-64ff-4f0a-ad79-97828bc898aa,future bounce,Q20021059,future house,4,0,0,ring,2015,Netherlands,,,single,future house,1
Q106493832,aef0ee80-631d-4487-b5af-c7306d1f676e,slap house,Q20021059,future house,4,0,0,ring,2017,Lithuania,,,auto,Brazilian bass | future house,5
Q107697041,bcb59664-ce5c-4105-8617-7cd7edee87c1,g-house,Q20502,house music,3,0,0,ring,2013,,,,single,house music,0
Q126175574,345b2a80-b4da-4c3b-a89d-b0291aefbb3d,stutter house,Q20502,house music,3,0,0,ring,2019,,,,single,house music,0
Q123753500,6edcc882-b402-440c-975d-dd2f367956fb,phonk house,Q20502,house music,3,0,0,ring,2020,,,,auto,drift phonk | house music,1
Q105637110,1ece3afe-bbff-4408-8e45-b20ca45fe9ae,jazz house,Q20502,house music,3,0,0,ring,,,,,single,house music,1
Q116296482,bd7072d4-359f-4441-9e04-2a8e39f6a279,melodic house,Q20502,house music,3,0,0,ring,,,,,single,house music,1
Q173844,9405d427-8b33-4670-a41a-040e23cef8ce,vocal house,Q20502,house music,3,0,0,ring,,,,,single,house music,4
Q170611,41fe3260-fcc1-450b-bd5a-803886c56912,techno,Q851213,electronic dance music,2,13,19,dial,1984,United States,,,single,electronic dance music,65
Q526463,88b01b1f-9151-4a1b-a9f7-608accdeaf20,Detroit techno,Q170611,techno,3,0,0,ring,1984,United States,,,single,techno,20
Q341395,ba64013e-27bb-4f14-a530-8d25b296e0da,acid techno,Q170611,techno,3,0,0,ring,1988,,,,single,acid | techno,14
Q106522080,43ef7823-5f16-4c9b-840d-f6b0de83a9c4,bleep techno,Q170611,techno,3,0,0,ring,1988,United Kingdom,,,single,techno,3
Q112663444,576ebd6b-d72f-4311-b445-cd30a1b6cb5c,Belgian hardcore techno,Q170611,techno,3,0,0,ring,1990,Belgium,,,auto,hardcore | rave music | techno,3
Q29480448,39b5ca66-873c-4a3d-94a3-3d31176b545e,industrial techno,Q170611,techno,3,1,1,ring,1990,United Kingdom,,,single,post-industrial music | techno,6
Q16951912,c802c2be-2351-4478-b6a1-003fdb8733c9,Birmingham sound,Q29480448,industrial techno,4,0,0,ring,1993,,,,single,industrial techno,3
Q1430587,c1313278-b276-4a79-9fc1-770dd62a8b83,minimal techno,Q170611,techno,3,0,0,ring,1991,Germany · United States,,,single,minimal EDM | techno,20
Q107697221,8cfe3e23-f64c-4523-ab2a-186bf0dcd12e,hardgroove techno,Q170611,techno,3,0,0,ring,1993,,,,single,techno,0
Q10856835,09a6e5f4-86e1-421c-9440-8da880dcc140,wonky techno,Q170611,techno,3,0,0,ring,1994,,,,single,techno,1
Q111182811,e7c41e03-c3df-4841-a9e8-3451bbbac0de,peak time techno,Q170611,techno,3,0,0,ring,2011,,,,single,techno,0
Q110185782,7fc914c1-a44e-43fd-ace8-63a2c6550057,melodic techno,Q170611,techno,3,0,0,ring,2013,,,,single,techno,0
Q106521662,6d9ae1bf-be62-4cf4-aa70-f6f831eea80f,deep techno,Q170611,techno,3,2,2,ring,,,,,single,techno,0
Q9149801,1c6e4eae-915d-4662-a7ff-038920b67d9e,ambient techno,Q106521662,deep techno,4,0,0,ring,1989,,,,single,deep techno,8
Q1262781,16aab171-3dce-454e-bb96-2636f15813fc,dub techno,Q106521662,deep techno,4,0,0,ring,1993,Germany · United Kingdom · United States,,,auto,deep techno | dubtronica,9
Q3084222,ed2e5e6b-2af6-4c7c-a9fb-e2e886bfda38,hard techno,Q170611,techno,3,3,3,ring,,Belgium · Germany · Netherlands,,,single,techno,7
Q1524033,3a9b4cb1-a189-437d-85fa-c55d9c59415d,free tekno,Q3084222,hard techno,4,0,0,ring,1993,,,,auto,hard techno | rave music,6
Q3048168,79719082-6fda-4461-ba89-c923d155cc45,mákina,Q3084222,hard techno,4,0,0,ring,1995,Catalan countries · Spain,,,single,hard dance | hard techno,11
Q307054,23b9af26-1442-4dd9-8b40-a0db8a22e149,schranz,Q3084222,hard techno,4,0,0,ring,1995,Frankfurt,,,single,hard techno,14
Q2693142,72b2e254-8ec9-4244-b1be-911a683ae0ff,techno body music,Q170611,techno,3,0,0,ring,,,,,auto,electronic body music | techno,2
Q2866725,2df69460-a03a-4557-8b0f-0bf95b8b0d36,Balearic beat,Q851213,electronic dance music,2,0,0,ring,1987,Spain · United Kingdom,,,auto,chill-out music | electronic dance music,15
Q663519,3b8f3f65-6caa-47c8-b076-fa59dfb69c43,breakbeat,Q851213,electronic dance music,2,9,10,ring,1987,United Kingdom,,,single,electronic dance music,34
Q2634010,c755b4da-de34-4d64-909a-9447833315ce,acid breaks,Q663519,breakbeat,3,0,0,ring,1987,,,,single,acid | breakbeat,4
Q858579,aac07ae0-8acf-4249-b5c0-2762b53947a2,big beat,Q663519,breakbeat,3,0,0,ring,1992,United Kingdom,,,single,breakbeat,23
Q25389262,93b7938a-ff65-4eae-8b95-4301ce161b27,progressive breaks,Q663519,breakbeat,3,0,0,ring,1992,,,,single,breakbeat | progressive electronic dance music,2
Q110874814,dacdaae8-eb43-4f0a-8c77-b284196a3be0,West Coast breaks,Q663519,breakbeat,3,0,0,ring,1992,,,,single,breakbeat,0
Q2396639,81c66c55-2790-4dfb-9954-d8b07477700e,Florida breaks,Q663519,breakbeat,3,0,0,ring,1995,,,,single,breakbeat,4
Q1756101,5338e516-5d65-48d5-b7ee-5fd82f3387ea,nu skool breaks,Q663519,breakbeat,3,0,0,ring,1995,United Kingdom,,,single,breakbeat,8
Q11680297,fd05e327-1e87-4db3-beeb-660b41167da5,psybreaks,Q663519,breakbeat,3,0,0,ring,1995,,,,single,breakbeat,2
Q106636289,ddfcd69c-d363-41ca-93e9-2dc09280a369,breakbeat kota,Q663519,breakbeat,3,1,1,ring,2000,,,,auto,breakbeat | funkot,0
Q106636283,02585ef0-2034-4905-aa47-9fb4ee090c89,jungle dutch,Q106636289,breakbeat kota,4,0,0,ring,2016,,,,single,breakbeat kota,0
Q106521759,53ab2484-e9f7-4709-9f0e-275446e7ff7c,funky breaks,Q663519,breakbeat,3,0,0,ring,,,,,single,breakbeat,0
Q848852,8de96944-cabb-4864-893a-ed072d802046,Eurobeat,Q851213,electronic dance music,2,1,1,ring,1988,Italy,,,single,electronic dance music,27
Q133520038,3246236f-45aa-4637-a510-1cbbd338616f,J-euro,Q848852,Eurobeat,3,0,0,ring,,,,,single,Eurobeat | J-pop,0
Q216961,e9a67960-9b49-4967-a1c9-c26360e9c612,Eurodance,Q851213,electronic dance music,2,2,3,ring,1988,Belgium · Germany · Netherlands,,,single,electronic dance music | music of Europe,47
Q930592,0e246476-8dc7-4806-9493-21a510a7d63d,Italo dance,Q216961,Eurodance,3,1,1,ring,1988,Italy,,,single,Eurodance,18
Q109589387,5ab05a08-86cd-4461-9a9c-e5ef37ef0ea5,manyao,Q930592,Italo dance,4,0,0,ring,2017,,,,single,Italo dance | electronic dance music,0
Q2076779,17ea7898-10ff-4c48-8729-3a077f6eb75e,bubblegum dance,Q216961,Eurodance,3,0,0,ring,1995,Denmark · Japan,,,single,Eurodance,8
Q170435,2afc2320-384f-43a4-a71e-1b763c485045,trance,Q851213,electronic dance music,2,15,28,dial,1988,Germany,,,single,electronic dance music,59
Q481900,267433bc-721d-4d60-8455-e6ed1e0b922f,acid trance,Q170435,trance,3,0,0,ring,1988,Europe,,,single,acid | trance,11
Q16837290,a57eaca8-4df0-4835-8581-1179a485729f,Balearic trance,Q170435,trance,3,0,0,ring,1991,Spain,,,auto,chill-out music | trance,7
Q832665,c8acb78a-8337-4eae-9d19-48220dba03ac,hard trance,Q170435,trance,3,0,0,ring,1992,Belgium · Germany · Netherlands,,,single,hard dance | trance,19
Q2260696,6bd228be-3374-4c4e-bc0a-46779fafe8f1,progressive trance,Q170435,trance,3,0,0,ring,1992,,,,single,progressive electronic dance music | trance,11
Q622871,b3cccf71-e843-4546-87fa-728055ba3147,psychedelic trance,Q170435,trance,3,6,11,ring,1992,India · Israel · South Africa · United Kingdom,,,single,trance,35
Q835131,ade8f293-c049-438a-a5f0-b51e6776d9c5,Goa trance,Q622871,psychedelic trance,4,1,1,ring,1991,India,,,single,psychedelic trance,23
Q4706203,62065a7f-c26c-4c27-8ac6-707437acd52f,nitzhonot,Q835131,Goa trance,5,0,0,ring,1998,Israel,,,single,Goa trance,4
Q2452152,9e70bec0-18b3-4bcd-b96c-1a607661f3b8,dark psytrance,Q622871,psychedelic trance,4,2,2,ring,1996,,,,single,psychedelic trance,10
Q105404852,39d5078b-d2b4-44fd-86e0-e3a2e6ae1f54,hi-tech psytrance,Q2452152,dark psytrance,5,0,0,ring,2005,,,,single,dark psytrance,1
Q114107195,d1cbfa0d-b1b6-4692-bbec-457681dd111f,psycore,Q2452152,dark psytrance,5,0,0,ring,2007,,,,single,dark psytrance,0
Q2497323,f60ce167-04a0-4b17-ba82-57e481c5e858,suomisaundi,Q622871,psychedelic trance,4,0,0,ring,1996,,,,single,psychedelic trance,8
Q109714096,80a85e62-8500-4b02-a5e1-1741b66e8536,forest psytrance,Q622871,psychedelic trance,4,0,0,ring,1998,,,,single,psychedelic trance,0
Q10286190,0d89844c-d79e-427a-96ef-8117dd2769c5,full-on,Q622871,psychedelic trance,4,1,1,ring,1998,Brazil,,,single,psychedelic trance,2
Q109714084,0d30c163-53ba-4805-aead-ba209b4eb997,twilight psytrance,Q10286190,full-on,5,0,0,ring,1999,,,,single,full-on,0
Q2385862,050ec099-b9b5-4f5d-82fa-2238a8c9c650,progressive psytrance,Q622871,psychedelic trance,4,1,1,ring,1998,Europe · United States,,,single,progressive electronic dance music | psychedelic trance,5
Q109715837,3bf27ab1-32dc-46dd-8512-1cbd3e8bd866,zenonesque,Q2385862,progressive psytrance,5,0,0,ring,1999,,,,single,progressive psytrance,0
Q1027999,f4dec9c1-abe2-4f3f-adee-5aa8f395d5ce,vocal trance,Q170435,trance,3,0,0,ring,1992,Europe,,,single,trance,14
Q2302695,ec039eb4-e175-44af-82ed-f152349eca35,tech trance,Q170435,trance,3,0,0,ring,1993,Germany,,,single,trance,13
Q1339027,f32ff972-f3ea-41a4-80ae-650fe317abfc,dream trance,Q170435,trance,3,0,0,ring,1994,Italy,,,single,trance,16
Q5402470,b51565b2-b298-4f43-a775-e974e3ab063b,hard NRG,Q170435,trance,3,0,0,ring,1994,,,,single,hard dance | trance,3
Q890887,5549175d-c972-4038-b610-57e482c83608,Eurotrance,Q170435,trance,3,1,2,ring,1995,,,,single,music of Europe | trance,14
Q733804,e7e26200-8939-4623-af75-32ba5e04e854,hands up,Q890887,Eurotrance,4,1,1,ring,2001,,,,single,Eurotrance | hard dance,13
Q132165415,2393533c-f66a-411a-8f77-fe7465d77820,buchiage trance,Q733804,hands up,5,0,0,ring,,,,,single,hands up | music of Japan,0
Q1136765,13e409d0-fe4a-4dd4-a957-6e06462b085f,uplifting trance,Q170435,trance,3,0,0,ring,1996,,,,single,trance,15
Q108831582,302123f6-aaa4-4dd1-91aa-aeb622536329,big room trance,Q170435,trance,3,0,0,ring,2008,,,,single,trance,0
Q11877639,cabec35a-16d0-47ff-9c89-398cc481c029,electro trance,Q170435,trance,3,0,0,ring,,,,,single,trance,1
Q134997891,94eebdb4-b064-4e79-94b6-e4add8fdc784,hi-tech full-on,Q170435,trance,3,0,0,ring,,,,,single,trance,0
Q139807789,21326c45-a01b-4438-ac08-fed83d87c423,trance 2.0,Q170435,trance,3,0,0,ring,,,,,single,trance,0
Q388906,3308d0b0-3c7f-45e2-b835-5c2a0d433f02,hardcore,Q851213,electronic dance music,2,19,56,dial,1989,Germany,,,single,electronic dance music,36
Q1585075,1c5db6d3-9ce6-48c0-9bff-e29f7d7cb1af,breakbeat hardcore,Q388906,hardcore,3,4,27,ring,1989,United Kingdom,,,auto,breakbeat | hardcore | rave music,15
Q1102161,ea9b6ec3-fc8f-4c55-b2f9-19bd4511a986,jungle,Q1585075,breakbeat hardcore,4,2,23,ring,1987,United Kingdom,,,override,drum and bass,31
Q2710523,7aae791f-dfff-4910-b133-ba1b9e9c1560,ragga jungle,Q1102161,jungle,5,0,0,ring,1989,United Kingdom,,,single,jungle | ragga,9
Q188994,462f9321-6103-49c9-b6db-96219bce6f62,drum and bass,Q1102161,jungle,5,17,21,dial,1992,Jamaica · United Kingdom,,,override,electronic dance music,48
Q2842043,1e215463-ccf8-413a-b281-bd83ed2246bb,atmospheric drum and bass,Q188994,drum and bass,6,0,0,ring,1991,,,,single,intelligent drum and bass,3
Q2121992,4dbca7ea-9bea-4c14-a819-cefa071127fc,drumfunk,Q188994,drum and bass,6,0,0,ring,1994,,,,single,drum and bass,9
Q2640307,f4553b2c-ef41-4d1c-ae02-7145202465b8,hardstep,Q188994,drum and bass,6,0,0,ring,1994,Austria,,,single,drum and bass,10
Q9011351,6294b8c8-42d7-4f32-a888-1d77acce495a,jazzstep,Q188994,drum and bass,6,0,0,ring,1994,United Kingdom,,,single,intelligent drum and bass,7
Q46649,5766df26-70b6-45ac-a0e2-cf5f4b1fd1ac,jump-up,Q188994,drum and bass,6,0,0,ring,1995,,,,single,drum and bass,11
Q1335569,de706214-32bb-4b52-9bb4-463aec11bcd3,techstep,Q188994,drum and bass,6,0,0,ring,1995,United Kingdom,,,single,drum and bass,15
Q1166321,8a51f0fd-1c24-4938-8e6a-e70c6e95b629,darkstep,Q188994,drum and bass,6,2,2,ring,1997,United Kingdom · United States,,,single,drum and bass,14
Q108716407,c3c86aa0-cd5a-4fcc-9c35-179415787b6c,skullstep,Q1166321,darkstep,7,0,0,ring,2005,,,,single,darkstep,0
Q11830421,a9417ed2-3276-4b0f-b5b3-33f88d33c5fc,crossbreed,Q1166321,darkstep,7,0,0,ring,2006,,,,auto,darkstep | hardcore,2
Q2082572,f1eaf2fd-46de-4ee3-81b8-5c064a33ce82,liquid drum and bass,Q188994,drum and bass,6,0,0,ring,1998,United Kingdom,,,single,drum and bass,17
Q967654,9094f251-8379-4ced-9541-a1c91045c327,neurofunk,Q188994,drum and bass,6,0,0,ring,1998,,,,single,drum and bass,18
Q3179786,ea1dbc68-c880-4487-8656-6c273acb948e,sambass,Q188994,drum and bass,6,0,0,ring,2001,Brazil,,,single,drum and bass,8
Q646165,63d216d7-1a9a-4863-87f8-906541de801a,trancestep,Q188994,drum and bass,6,0,0,ring,2001,,,,single,drum and bass,4
Q107332291,5af8f19f-ea20-44cb-b6a3-05d5ed8b19a9,dancefloor drum and bass,Q188994,drum and bass,6,0,0,ring,2004,,,,single,drum and bass,0
Q10268931,49f3843a-2a29-4f37-9053-3cc5a3e545b7,dubwise drum and bass,Q188994,drum and bass,6,0,0,ring,2004,,,,single,drum and bass,1
Q106404300,8f910197-1389-4924-8428-64d9b6e2905f,minimal drum and bass,Q188994,drum and bass,6,2,2,ring,2007,,,,single,drum and bass | minimal EDM,0
