wikidata_id,file,author,license,license_url,status
Q1388088,"Steve ""Silk"" Hurley.jpg",Uzerakount (talk),CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1388336,Willie Colon 2017 (cropped).jpg,latinustv,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,ok
Q1388730,"Aankomst Spaanse zanger Peret op Schiphol, Peret met gouden plaat, Bestanddeelnr 925-1521.jpg",Bert Verhoeff for Anefo,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,ok
Q13894,Postcard-1910 Strauss Richard.jpg,unidentified photograph,Public domain,,ok
Q1390373,Tonyrice-fls.jpg,Filberthockey at en.wikipedia,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,ok
Q139121,Flying-Lotus.jpg,Simon Fernandez,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1393568,Faith Muse.jpg,Flickr usr Gotheric,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1393884,The Dixie Hummingbirds (239252818).jpg,Bryan Ledgard,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1394264,Waylander Dark Troll 2019 26.jpg,S. Bollmann,Attribution,,ok
Q139465,Carlos Varela at MIFF (cropped).jpg,MiamiFilmFestival,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1394828,Kode9.jpg,The original uploader was P4k at English Wikipedia.,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1394971,Malanga and Kanda Bongo Man.jpg,Christian Malanga,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1395127,Julio jaramillo laurido2.jpg,Maty1206,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1395361,Festas Pereiro 2008 - Quim Barreiros no Pereiro.jpg,Marques Maia,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1395417,Vilayat Khan 2014 stampsheet of India cr.jpg,"India Post, Government of India",GODL-India,https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf,ok
Q1395589,Airbeat One 2015 Wildstylez Joram Metekohy by Denis Apel-1064.jpg,Denis Apel,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1395732,Moein Live in Toronto 2023.jpg,Mehrshad Adkins 01,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1395857,Jose-asuncion-flores.jpg,Jeanmersault,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1395950,Schooly-d-house-of-blues-2012.jpg,swimfinfan,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1395969,Kid-Frost.jpg,Angelasong,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1395989,Patrick Cowley.jpg,The Voice (San Francisco),Public domain,,ok
Q1396717,"Viviane Chidid, 2013 (cropped).jpg",Pierre-Yves Beaudouin,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1397782,"""Faster Pussycat"" (5843177688).jpg",Ted Van Pelt,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1398096,Wimme Saari-2.jpg,Wimme_Saari.jpg: Tomisti derivative work: Bff (talk),CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,ok
Q1398571,Aute recogida premio.jpg,Informador Digital from Spain,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1398604,Jeffrey Lee Pierce cropped.jpg,Yves Lorson,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,ok
Q1399599,"Pete Johnson, New York, N.Y., ca. Aug. 1946 (William P. Gottlieb 04651).jpg",William P. Gottlieb,Public domain,,ok
Q1399605,Meade Lux Lewis Billboard.jpg,Unknown author,Public domain,,ok
Q1402704,Pentagram live 2009.jpg,brandi666,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1404339,Teenage Jesus and the Jerks (2584307444).jpg,georgia.kral,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q14045,Moby 1.jpg,Uncensored Interview,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1406177,Marcus Roberts 2010.jpg,Alberto Cabello Mayero,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1406448,Wavves.jpg,The Accent from USA,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1407424,Jimi Hendrix Experience in Fenklup.png,VARA,CC BY-SA 3.0 nl,https://creativecommons.org/licenses/by-sa/3.0/nl/deed.en,ok
Q1408267,Riot V - Wacken Open Air 2018 00.jpg,Frank Schwichtenberg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1410018,Ben Watkins of Juno Reactor in Portland 01.jpg,"Peat Bakke from Portland, OR, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1411035,Screaming Trees (1980s SST promo photo).jpg,Naomi Petersen. Distributed by SST Records.,Public domain,,ok
Q1411146,Zaïko Langa Langa live à La Madeleine 2024.jpg,Kongo96,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,ok
Q1411165,Fiddlin'JohnCarson.jpg,Wilbur Smith (†1932),Public domain,,ok
Q1412029,Carter Family in the 1930s (retouched using Remini App).jpg,Carter Family 1927.jpg: Victor Talking Machine Company derivative work: User:Clusternote,Public domain,,ok
Q1412030,TortoiseChicago2008.jpg,Wasted Time R (talk),CC BY 3.0,https://creativecommons.org/licenses/by/3.0,ok
Q1412298,Helmet - Wacken Open Air 2018 02.jpg,Frank Schwichtenberg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1413494,The Sugarhill Gang (52790148289).jpg,"Gage Skidmore from Surprise, AZ, United States of America",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1413921,Steeleye Span - Fairport's Cropredy Convention 2006 (1).jpg,Brian Marks,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1413926,XTC bandphoto.jpg,Jean-Luc Ourlin,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q14159626,The War on Drugs 2014 Zurich 1.jpg,Sputniktilt,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q141703,"The Futureheads, Radio 1.jpg","Laura from Washington/Newcastle/Sunderland, UK",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1417601,Jon Spencer 2006.jpg,"Bart Jan van Vugt on Flickr, from Antwerp, Belgium",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1418687,Chacalon.jpg,Maipi Tuta,PDM-owner,,ok
Q1419043,Firewater (2).JPG,Blueye,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1419255,The Drums at the Lexington.jpg,Paul from United Kingdom,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q14197609,2016 RiP Uncle Acid and the Deadbeats - by 2eight - 8SC6811.jpg,Stefan Brending (2eight),CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1420144,Fischerspooner NYC 2005.jpg,Flickr user Mai Le,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1420629,Kayo Dot @ Roadburn 2015 05.jpg,Grywnn,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1420833,New-Riders-of-the-Purple-Sage-01.jpg,cp_thornton,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1421242,Memphis jugband.jpg,http://www.cr.nps.gov/delta/blues/people/memphis_jug.htm,Public domain,,ok
Q1422720,The Waterboys in Antwerp 2003 5.jpg,Meut.,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,ok
Q1422764,RatatatMembers.jpg,derivative work: jhsounds (talk) Ratatat-MikeStroud.jpg: Chris Pimlott Ratatat-EvanMast.jpg: Chris Pimlott,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1422960,The Casualties 2007 Poland 001.jpg,Arek1979,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,ok
Q1424035,20140110-Leipzig-PlanetMyerDay-4360.jpg,Carstor,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,ok
