wikidata_id,name,kind,start,country,genres,photo_file,photo_author,photo_license,photo_license_url
Q8075741,Zydeco Force,group,1988,United States,Q111186967,,,,
Q807957,Barclay James Harvest,group,1966,United Kingdom,Q719927,Some old (really old) gig photos (4693581988).jpg,"Paul Carless from St Albans, UK",CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q808235,Bark Psychosis,group,1986,United Kingdom,Q209137,Bark Psychosis.jpg,Phil Nicholls,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q808863,Barren Cross,group,1983,United States,Q822914,Barren Cross EoR 2012 1.jpg,Lahminewski Lab,CC BY 3.0,https://creativecommons.org/licenses/by/3.0
Q809077,Barry McGuire,person,1962,United States,Q6188299,"Barry McGuire at the 3 day Music & Alternatives festival, New Zealand 1979..jpg",The original uploader was Mombas at English Wikipedia.,CC BY 2.5,https://creativecommons.org/licenses/by/2.5
Q810016,Basil Coetzee,person,1944,South Africa,Q1034231,,,,
Q810481,Bassekou Kouyate,person,1966,Mali,Q107123896,Bassekou Kouyate photo.jpg,Richard Kaby,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q811021,Battles,group,2003,United States,Q1132152,Battles 22-11-07.jpg,Pueril,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q81120980,Hamid El Kasri,person,1961,Morocco,Q2000173,Hamid el Kasri.jpg,Michael Coghlan,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q812842,Beach House,group,2004,United States,Q592330,Beach House at House of Blues San Diego on July 1 2012.jpg,Tristan Loper,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q813076,Beat Happening,group,1982,United States,Q370778|Q842324,Beat Happening (1988 Rough Trade publicity photo).jpg,Distributed by Rough Trade US. Photographer unknown.,Public domain,
Q813553,Bebo Valdés,person,1938,Cuba,Q3163340,Bebo Valdés - 2008 (cropped).jpg,livepict.com,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q814482,Beherit,group,1989,Finland,Q13586773,,,,
Q81509,Minor Threat,group,1980,United States,Q25554481|Q10922,Minor-threat-malcolm-riviera.jpg,Malco23,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q815610,Believer,group,1986,United States,Q822914,,,,
Q816495,Ben Folds Five,group,1993,United States,Q2090023,Benfoldsfivereunionlive.jpg,ColdandComposed (talk),CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q816527,Ben Johnston,person,1926,United States,Q109678435,,,,
Q816535,Ben Klock,person,1998,Germany,Q170611,,,,
Q81698554,Pop Smoke,person,2018,United States,Q15697534|Q126281100,Pop Smoke 2020.jpg,"user ""E-Trill"" at Twitter",Attribution,
Q81752,Anton Bruckner,person,1824,Cisleithania,Q3328774|Q9734|Q8812109|Q217295,Joseph Anton Bruckner (1868).jpg,Unknown author,Public domain,
Q819299,Hardfloor,group,1991,Germany,Q341395|Q481900,,,,
Q8195511,Ayinde Barrister,person,1965,Nigeria,Q3509353,,,,
Q820664,Triarii,group,2004,Germany,Q1078010,,,,
Q820968,Thomas Brinkmann,person,1959,Germany,Q1430587,Thomas Brinkmann (cropped 2).jpg,The original uploader was Mind meal at English Wikipedia.,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q82179,Punch Brothers,group,2006,United States,Q3307225,2008 Punch Brothers - credit Cassandra Jenkins SMALL for website.jpg,"credit: Cassandra Jenkins, owner: IMG Artists, LLC",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q82199,Hande Yener,person,2000,Turkey,Q7855391,Hande Yener Harbiye 2015 - 20 (cropped).JPG,Emre Yanık,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q82222,Little Richard,person,1951,United States,Q7749,Little Richard in 2007 (cropped).jpg,Anna Bleker,Public domain,
Q82250,Conway Twitty,person,1955,United States,Q5128236,Conway Twitty 1974.JPG,United Talent Inc. (management)/MCA Records,Public domain,
Q82311,Gene Vincent,person,1955,United States,Q203720,Genevincent015e.jpg,Roland Godefroy,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q82545,Sex Pistols,group,1975,United Kingdom,Q25554481|Q3071,Sex Pistols in Paradiso.jpg,"Photograph: Koen Suyk. In: Nationaal Archief, Den Haag, Rijksfotoarchief: Fotocollectie Algemeen Nederlands Fotopersbure",CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en
Q826255,Suede,group,1989,United Kingdom,Q189045,"Suede, Brighton Centre.jpg",Bex Walton,CC BY 4.0,https://creativecommons.org/licenses/by/4.0
Q8298,David Guetta,person,1984,France,Q851213|Q101109587,"2023-11-16 Gala de los Latin Grammy, 22 (David Guetta).jpg",Junta de Andalucía,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q830316,MC5,group,1964,United States,Q27190,MC50 - Fabrik Hamburg 2018 02.jpg,Frank Schwichtenberg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
