genre,parent
http://www.wikidata.org/entity/Q183862,http://www.wikidata.org/entity/Q10922
http://www.wikidata.org/entity/Q183862,http://www.wikidata.org/entity/Q465978
http://www.wikidata.org/entity/Q185162,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q185162,http://www.wikidata.org/entity/Q18345375
http://www.wikidata.org/entity/Q185298,http://www.wikidata.org/entity/Q685884
http://www.wikidata.org/entity/Q185652,http://www.wikidata.org/entity/Q373342
http://www.wikidata.org/entity/Q185652,http://www.wikidata.org/entity/Q7139128
http://www.wikidata.org/entity/Q185652,http://www.wikidata.org/entity/Q107718737
http://www.wikidata.org/entity/Q185676,http://www.wikidata.org/entity/Q106556293
http://www.wikidata.org/entity/Q185858,http://www.wikidata.org/entity/Q201405
http://www.wikidata.org/entity/Q186017,http://www.wikidata.org/entity/Q685884
http://www.wikidata.org/entity/Q186170,http://www.wikidata.org/entity/Q465978
http://www.wikidata.org/entity/Q186472,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q187760,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q188237,http://www.wikidata.org/entity/Q6942329
http://www.wikidata.org/entity/Q188285,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q188285,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q188285,http://www.wikidata.org/entity/Q1076513
http://www.wikidata.org/entity/Q188450,http://www.wikidata.org/entity/Q116985035
http://www.wikidata.org/entity/Q188534,http://www.wikidata.org/entity/Q10922
http://www.wikidata.org/entity/Q188534,http://www.wikidata.org/entity/Q465978
http://www.wikidata.org/entity/Q188539,http://www.wikidata.org/entity/Q83270
http://www.wikidata.org/entity/Q188539,http://www.wikidata.org/entity/Q12326776
http://www.wikidata.org/entity/Q188539,http://www.wikidata.org/entity/Q65937876
http://www.wikidata.org/entity/Q188994,http://www.wikidata.org/entity/Q851213
http://www.wikidata.org/entity/Q189045,http://www.wikidata.org/entity/Q11366
http://www.wikidata.org/entity/Q189045,http://www.wikidata.org/entity/Q484641
http://www.wikidata.org/entity/Q189201,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q189201,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q193207,http://www.wikidata.org/entity/Q373342
http://www.wikidata.org/entity/Q193217,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q193217,http://www.wikidata.org/entity/Q179465
http://www.wikidata.org/entity/Q193217,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q193217,http://www.wikidata.org/entity/Q3328676
http://www.wikidata.org/entity/Q193355,http://www.wikidata.org/entity/Q9759
http://www.wikidata.org/entity/Q193355,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q193605,http://www.wikidata.org/entity/Q1123037
http://www.wikidata.org/entity/Q194172,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q194172,http://www.wikidata.org/entity/Q1063010
http://www.wikidata.org/entity/Q194492,http://www.wikidata.org/entity/Q106586998
