name,genres,reason
Anne Savage,Q1585015,no musician or group of that name on Wikidata — found: Q112376101 Anne Savage ((born 1954)); Q4768782 Anne Savage (Canadian artist (1896-1971)); Q75404734 Anne Savage (Peerage person ID=121072)
Arena,Q1051843,"no musician or group of that name on Wikidata — found: Q641226 arena (enclosed area designed to host sporting events, theater, and musical performances); Q37109202 Arena (family name); Q3098414 Arena (2010 video game)"
Arkus P,Q307054,no musician or group of that name on Wikidata — no result
Arrow,Q1051735,"no musician or group of that name on Wikidata — found: Q17378988 Arrow (family name); Q4796102 Arrow (village in Warwickshire, UK); Q45922 arrow (shafted projectile that is shot with a bow)"
Arthur Smith,Q106562392,"no musician or group of that name on Wikidata — found: Q4800309 Arthur Smith (British Army General, born 1890); Q711549 Arthur Smith (U.S. Representative from Virginia (1785-1853)); Q4800315 Arthur Smith (British natural history illustrator)"
Aubrey Ghent,Q7397320,no musician or group of that name on Wikidata — no result
BK,Q1585015,"no musician or group of that name on Wikidata — found: Q7672060 Faculty of Architecture and the Built Environment (faculty of Delft University of Technology, the Netherlands); Q145 United Kingdom (island country in north-west Europe); Q1882 berkelium (chemical element with symbol Bk and atomic number 97)"
Bagad Kemper,Q12302,"no musician or group of that name on Wikidata — found: Q2878946 Bagad Kemper (bagad, Breton pipe bands); Q26311431 Bagad Kemper, 50 ans sans relâche : hep diskrog (1re éd.) (edition); Q2878921 Bagad Bro Kemperle (—)"
Baltra,Q108555812,no musician or group of that name on Wikidata — found: Q55604791 Baltra (family name); Q18594702 Baltraella (genus of crustaceans); Q200772 Baltra Island (island in the Galápagos Archipelago in Ecuador)
Bana,Q2982341 Q502535,"no musician or group of that name on Wikidata — found: Q36929464 Bana (family name); Q15738060 Bana (genus of insects); Q12473924 Bana (village in Bone Regency, South Sulawesi, Indonesia)"
Banda El Mexicano,Q10932272,no musician or group of that name on Wikidata — no result
Banda Sinaloense Los Recoditos,Q2812726,no musician or group of that name on Wikidata — no result
Baring Teeth,Q112144256,no musician or group of that name on Wikidata — no result
Barões da Pisadinha,Q108857881,no musician or group of that name on Wikidata — no result
Bastard,Q106839582,"no musician or group of that name on Wikidata — found: Q1779557 Bastard (1940 Norwegian-Swedish film); Q2708035 Bastard (2009 debut studio album by Tyler, The Creator); Q170393 illegitimate child (child born outside of marriage and therefore lacking certain legal rights)"
Be Svendsen,Q109148913,no musician or group of that name on Wikidata — no result
BeatPluggz,Q109382160,no musician or group of that name on Wikidata — no result
Bedouin,Q109148913,no musician or group of that name on Wikidata — found: Q180688 Bedoui (Arab nomads who historically nomadized between North Africa and the Middle East); Q28801549 Bedouin (painting by Berthe Worms); Q65097851 Bedouin (family name)
Belly Squad,Q85740017,no musician or group of that name on Wikidata — no result
Benga,Q20474,no musician or group of that name on Wikidata — found: Q9610 Bangla (Indo-Aryan language mostly spoken in Bangladesh and India); Q16479646 Benga (family name); Q427715 Bangla Wikipedia (Bengali-language edition of Wikipedia)
Bicho de Pé,Q10283584,no musician or group of that name on Wikidata — found: Q133413 Chigoe flea (species of fleas); Q682582 stuffed toy (toy with an outer fabric sewn from a textile and then stuffed with flexible material)
Big Bang,Q213665,no musician or group of that name on Wikidata — found: Q858479 Big Bang (non-fiction work by Simon Singh); Q323 Big Bang (hypothetical begin of the Universe through expansion out of an infinitely small and infinitely dense state); Q2902129 Big Bang (album by Waltari)
Big Bud,Q2842043,no musician or group of that name on Wikidata — found: Q98579837 Big Bud (tractor manufacturer); Q2377899 Big Bud tractors (—); Q528079 Tian Tan Buddha (The second largest outdoor bronze Buddha in the world)
Bit Shifter,Q135637,no musician or group of that name on Wikidata — found: Q124063531 Bit Shifter (2015 early access video game)
Black String,Q121437389,no musician or group of that name on Wikidata — found: Q680247 black string (—); Q27355213 Black strings and p -branes are unstable (scientific article published on 10 May 1993); Q63252955 Black strings and p-branes (—)
Black Widow,Q55296418,no musician or group of that name on Wikidata — found: Q23894626 Black Widow (2021 film by Cate Shortland); Q18358576 Black Widow (2014 studio album by In This Moment); Q4922153 Black Widow (1982 vector arcade game)
Blame,Q2842043,"no musician or group of that name on Wikidata — found: Q621695 blame (act of censuring, holding responsible, making negative statements about an individual or group); Q17510378 Blame (Calvin Harris song); Q18042522 SLAMF8 (protein-coding gene in the species Homo sapiens)"
Blo,Q3606268,"no musician or group of that name on Wikidata — found: Q160927 Blois (French commune and city in Loir-et-Cher, Centre-Val de Loire); Q183134 sepsis (life-threatening response to infection); Q9908 Bloemendaal (municipality in the Netherlands)"
Blue Devils,Q128631435,"no musician or group of that name on Wikidata — found: Q2907160 Duke Blue Devils (intercollegiate sports teams that represent Duke University in Durham, NC, USA); Q4171772 Duke Blue Devils men's basketball (college men's basketball team representing Duke University); Q4929049 Blue Devils (aerobatic team)"
Bob Desper,Q136335965,no musician or group of that name on Wikidata — no result
Bonga,Q1470503,no musician or group of that name on Wikidata — found: Q21510892 Bonga (family name); Q4093107 Bongardia chrysogonum (species of plant); Q55544 Bongabon (municipality of the Philippines in the province of Nueva Ecija)
Boondocks Gang,Q122034475,no musician or group of that name on Wikidata — no result
Brighouse and Rastrick Band,Q110230168,no musician or group of that name on Wikidata — no result
Brooks,Q20021059,"no musician or group of that name on Wikidata — found: Q1354011 Brooks (family name); Q18341973 Brooks (male given name); Q1055838 Brooks (city in Alberta, Canada)"
Buknas de Culiacán,Q109406736,no musician or group of that name on Wikidata — no result
Bush,Q379671,no musician or group of that name on Wikidata — found: Q1484464 Bush (family name); Q207 George W. Bush (43rd President of the United States (2001–2009)); Q42295 shrub (small- or medium-sized perennial woody plant)
Caiiro,Q388100,no musician or group of that name on Wikidata — no result
Callisto,Q98528292,no musician or group of that name on Wikidata — found: Q25937107 Callisto (male given name); Q5022802 Callisto (genus of insects); Q87904727 Callisto (unisex given name)
Calvin Cooke,Q7397320,no musician or group of that name on Wikidata — no result
Camel,Q106621063,no musician or group of that name on Wikidata — found: Q7375 Camelus (genus of mammals); Q132922 Camelus bactrianus (species of mammal); Q101815 Camellia sinensis (species of plant)
Cannibal Movie,Q16254929,no musician or group of that name on Wikidata — found: Q1723850 cannibal film (film genre)
Captain Hook,Q2385862,no musician or group of that name on Wikidata — found: Q1035128 Captain Hook (fictional pirate); Q1133919 Sparky Anderson (Hall of Fame American baseball player and manager); Q20001183 Killian Jones (fictional character on Once Upon A Time)
Cardenales del Éxito,Q535328,no musician or group of that name on Wikidata — no result
Carnage,Q47781397,no musician or group of that name on Wikidata — found: Q3199915 massacre (incident where some group is killed by another); Q122641407 Carnage (1993 video game); Q122641479 Carnage (2012 video game)
Carolina Crown,Q128631435,no musician or group of that name on Wikidata — found: Q5044807 Carolina Crown Drum and Bugle Corps (junior drum corps from South Carolina)
Cascatinha & Inhana,Q106594814,no musician or group of that name on Wikidata — found: Q18242677 Cascatinha & Inhana (—)
Cathedral,Q186170,"no musician or group of that name on Wikidata — found: Q2977 cathedral (Christian church, which is seat of a bishop); Q56242215 Catholic cathedral (church that is the seat of the bishop of a diocese of the Catholic Church); Q63271768 Cathedral (album by Oddarrang)"
Central Line,Q4969182,"no musician or group of that name on Wikidata — found: Q205355 Central line (London Underground line); Q32713 Jungang Line (a railway line operated by Korea Railroad Corporation in South Korea); Q5061366 Central Line (railway line in Mumbai, India)"
Cero,Q113086512,no musician or group of that name on Wikidata — found: Q37499089 Cero (family name); Q4280683 Cerodontha (genus of insects); Q11389850 A (All ages) (CERO video game content rating)
Chacal y Yakarta,Q108297222,no musician or group of that name on Wikidata — no result
Change,Q4942839,"no musician or group of that name on Wikidata — found: Q1173443 Change (commune in Saône-et-Loire, France); Q1150070 change (process, event or action that deviates from the present state); Q2422033 Change (2008 song by Taylor Swift)"
Charles Amoah,Q1014887,no musician or group of that name on Wikidata — found: Q321136 Charles Amoah (Ghanaian footballer)
Charles King,Q1061165,no musician or group of that name on Wikidata — found: Q5079801 Charles King (American professor of international affairs and government); Q37393221 Charles H. King (researcher); Q138657142 Charles Nicholas King (British diplomat)
Chaweewan Dumnern,Q1753803,no musician or group of that name on Wikidata — no result
Chicco Twala,Q110230812,no musician or group of that name on Wikidata — no result
Chocolate MC,Q124713283,no musician or group of that name on Wikidata — no result
Chon,Q1132152,no musician or group of that name on Wikidata — found: Q18324299 Chon (family name); Q1936737 Jeon (Korean family name (전)); Q114918025 Chon (male given name)
Chrissy Zebby Tembo,Q145980,no musician or group of that name on Wikidata — no result
Christy's Minstrels,Q1937548,no musician or group of that name on Wikidata — found: Q5113616 Christy's Minstrels (American blackface minstrel troupe)
Chrome,Q968730,no musician or group of that name on Wikidata — found: Q777 Google Chrome (web browser developed by Google); Q672303 Chrome (2003 first-person shooter video game); Q3675908 Chrome (album by Trace Adkins)
Chuck Johnson,Q113447222,no musician or group of that name on Wikidata — found: Q108052025 Chuck Johnson (American football player (born March 1969)); Q108055576 Chuck Johnson (American football player (born May 1969)); Q102045822 Chuck Johnson (artist)
Citizen Boy,Q29973057,no musician or group of that name on Wikidata — no result
Claudinho & Buchecha,Q10286515 Q1931130,no musician or group of that name on Wikidata — found: Q16939813 Claudinho & Buchecha (Pioneers in the funk carioca genre); Q18244236 Claudinho & Buchecha (album by Claudinho & Buchecha)
Clave y Guaguancó,Q388475,no musician or group of that name on Wikidata — no result
Code 61,Q1890098,"no musician or group of that name on Wikidata — found: Q125747967 Code 612, qui a tué le Petit Prince ? (—)"
College,Q19938910,"no musician or group of that name on Wikidata — found: Q189004 college (educational institution, varying in level from country to country); Q180958 faculty (a principal division of a higher education institution, usually by discipline but sometimes also by level; typically called faculty in Europe and school or college in North America); Q1622272 university teacher (person teaching at a university or college)"
Comus,Q134889869 Q1500364 Q649634,"no musician or group of that name on Wikidata — found: Q694958 Comus (commune in Aude, France); Q18595931 Comus (genus of molluscs); Q2579425 Robert Michael Ballantyne (Scottish author of juvenile fiction (1825-1894))"
Conqueror,Q13586773,no musician or group of that name on Wikidata — found: Q5162407 Conqueror (1988 video game); Q1542168 HMS Conqueror (1969 Churchill-class submarine); Q1145799 V-1570 (1926 V12 engine family by Curtiss)
Consequence,Q106404300,no musician or group of that name on Wikidata — found: Q2995644 result (final consequence or product of a sequence of actions or events); Q66622334 Consequence (instrumental recording by Kevin MacLeod); Q926230 effect (phenomenon which results from a cause)
Contrafarsa,Q6032965,no musician or group of that name on Wikidata — found: Q5785168 Contrafarsa (—)
Converter,Q1913888,"no musician or group of that name on Wikidata — found: Q2996416 file converter (computer program that converts between file formats); Q122374171 Converter (2021 video game); Q35825432 converter (entity that converts, modifies, or transforms, producing an change of state, observable on the entity itself or on other objects)"
Cornelius,Q1207347,no musician or group of that name on Wikidata — found: Q17518364 Cornelius (male given name); Q11915639 Cornelius (ancient Roman nomen); Q18536476 Cornelius (family name)
Corona,Q216961,no musician or group of that name on Wikidata — found: Q82069695 SARS-CoV-2 (virus that causes COVID-19); Q84263196 COVID-19 (contagious disease caused by SARS-CoV-2); Q16865778 Corona (family name)
Crazy Cousinz,Q9364028,no musician or group of that name on Wikidata — no result
Cross Movement,Q2238236,no musician or group of that name on Wikidata — found: Q5188361 Cross Movement Records (US record label); Q107575207 Cross-movement coalitions and political agency: the popular sector and the Pro-Canada/ Action Canada network (doctoral thesis by Peter Bleyer)
Cuarteto Leo,Q155119,no musician or group of that name on Wikidata — no result
Cub,Q126281483,"no musician or group of that name on Wikidata — found: Q241 Cuba (sovereign state situated on an island in the Caribbean Sea); Q736674 University of Colorado Boulder (public university in Boulder, Colorado, United States, and flagship of the University of Colorado System); Q851164 Corvinus University of Budapest (university)"
Culture,Q1299260,no musician or group of that name on Wikidata — found: Q11042 culture (shared aspects of a society's way of life); Q465299 archaeological culture (group of artifacts associated with a past society); Q28452606 Culture (sophomore album by Migos)
D.A.V.E. The Drummer,Q341395,no musician or group of that name on Wikidata — no result
DJ Boring,Q108555812,no musician or group of that name on Wikidata — no result
DJ Clent,Q24885387,no musician or group of that name on Wikidata — no result
DJ Milton,Q2748817,no musician or group of that name on Wikidata — no result
DJ Nate,Q24885387 Q5466607,no musician or group of that name on Wikidata — no result
DJ Scud,Q1275972 Q903735,no musician or group of that name on Wikidata — no result
DJ Sliink,Q4965901,no musician or group of that name on Wikidata — no result
DJ Slugo,Q2748817,no musician or group of that name on Wikidata — no result
DLow,Q108297200,no musician or group of that name on Wikidata — found: Q22004081 DLow (American dancer); Q131581525 Dlow Curry (2024 debut studio album by BossMan Dlow); Q59457943 dLow Temperature of formation of Nickel Germanide by reaction of Nickel and Crystalline Germanium (scholarly article by Fahid Algahtani et al published 2014 in Materials Research Society symposia proceedings)
DNA,Q823080,no musician or group of that name on Wikidata — found: Q7430 deoxyribonucleic acid (molecule that encodes the genetic instructions used in the development and functioning of all known living organisms and many viruses); Q3279549 DNA (2012 debut studio album by Little Mix); Q8061 DNA (Finnish telecommunications company)
Da Capo,Q388100,no musician or group of that name on Wikidata — found: Q1151363 Da Capo (2002 video game); Q1156381 Da Capo (1988 studio album by BAP); Q18604740 Da Capo (2014 studio album by Toy)
Dadá Boladão,Q97278139,no musician or group of that name on Wikidata — no result
Dale and Grace,Q106522115,no musician or group of that name on Wikidata — no result
Damia,Q2956171,no musician or group of that name on Wikidata — found: Q24033451 Damià (male given name); Q115267582 Damia (family name); Q15063044 Damian (male given name)
Daniel Bell,Q1430587,no musician or group of that name on Wikidata — found: Q125676528 Daniel Bell (English church decorative artist); Q131754866 Daniel Bell (Canadian gridiron football player (born 2001)); Q123333982 Daniel Bell (American politician)
Dariush,Q7170257,no musician or group of that name on Wikidata — found: Q31892067 Dariush (male given name); Q102384749 Dariush Kiani (Ph.D. Sharif University of Technology 2004); Q20740762 Dariush Mozaffarian (American cardiologist)
Dawn,Q2997058,no musician or group of that name on Wikidata — found: Q7375129 Dawn (female given name); Q37476832 Dawn (family name); Q27506702 DAWN (Third studio album by Japanese singer Aimer)
Daze,Q2076779,"no musician or group of that name on Wikidata — found: Q117454294 DaZe (progamer); Q10933752 Daze Township (township in Sêrtar, Sichuan, China); Q11095323 Li Bohua (Ming dynasty politician)"
Dead End,Q131425,no musician or group of that name on Wikidata — found: Q56255820 Dead End (1988 video game); Q5245157 Dead End (2001 studio album by The Newlydeads); Q12731 dead end street (dead-end street with only one inlet/outlet)
Deadbeat,Q1262781,no musician or group of that name on Wikidata — found: Q136095174 Deadbeat (2025 studio album by Tame Impala); Q135018467 Deadbeat (2025 video game developed by Halfwheel Games); Q16267552 Deadbeat (TV series)
Death,Q483251 Q65943557,no musician or group of that name on Wikidata — found: Q4 death (permanent cessation of vital functions); Q37258658 Death (family name); Q29940705 100 years or more after death of author(s) (copyright protection duration of 100 years from the death of the author(s))
Death Side,Q106839582,no musician or group of that name on Wikidata — no result
Delete,Q21000514,no musician or group of that name on Wikidata — found: Q21441764 withdrawn identifier value (former identifier value that is no longer operative (use as a value for qualifier P2241 on deprecated statement; if the ID is still retained use Q67125514 instead)); Q116481049 Delete (2018 video game); Q1339493 delete key (computer keyboard key used to delete the character succeeding the cursor)
Depressive Silence,Q48971892,no musician or group of that name on Wikidata — no result
Dirt,Q486365,no musician or group of that name on Wikidata — found: Q36133 soil (natural body consisting of layers that are primarily composed of minerals); Q185529 pornographic film (film genre that represents sexually explicit visual material primarily in order to titillate the viewer); Q31081274 Dirt (2012 studio album by Amund Maarud)
Disconscious,Q80725067,no musician or group of that name on Wikidata — no result
Dougal & Gammer,Q339906,no musician or group of that name on Wikidata — no result
Down,Q56353998 Q720959,no musician or group of that name on Wikidata — found: Q408 Australia (country in Oceania); Q37182435 Down (family name); Q190684 County Down (county of Northern Ireland)
Doyle Lawson & Quicksilver,Q21327441,no musician or group of that name on Wikidata — no result
Drokz,Q1265050,no musician or group of that name on Wikidata — no result
E Zezi,Q3980643,no musician or group of that name on Wikidata — no result
ESG,Q1643549,"no musician or group of that name on Wikidata — found: Q3817465 environmental, social and corporate governance (sustainability investment criteria); Q97204915 Emrah Safa Gürkan (Turkish historian (born 1981)); Q18032008 TLE3 (protein-coding gene in the species Homo sapiens)"
Ebenezer Calender,Q5480212,no musician or group of that name on Wikidata — no result
Ed Rush & Optical,Q1335569 Q967654,no musician or group of that name on Wikidata — no result
Egg,Q727803,no musician or group of that name on Wikidata — found: Q9384 testicle (internal organ used in the male reproductive system); Q64877 Egg (municipality in Switzerland); Q1321695 egg cell (haploid female reproductive cell or gamete)
Ekolu,Q136537479,no musician or group of that name on Wikidata — found: Q125370191 Ekoluoma (family name); Q5350535 Ekolu Mea Nui (song); Q774500 The Smoggies (Canadian animated television series)
Emanuel,Q3025242,no musician or group of that name on Wikidata — found: Q4926740 Emanuel (male given name); Q20996164 Emanuel (family name); Q18179872 Emanuele (male given name)
Emmanuel Mulemena,Q1669802,no musician or group of that name on Wikidata — no result
Endymion,Q1983750,no musician or group of that name on Wikidata — found: Q51524140 Endymion (genus of plants); Q272047 Endymion (son of Aethlius in Greek mythology); Q2656138 Endymion (1996 novel by Dan Simmons)
Enoo Napa,Q388100,no musician or group of that name on Wikidata — no result
Enrico Sangiuliano,Q111182811,no musician or group of that name on Wikidata — no result
Equinox,Q2121992,no musician or group of that name on Wikidata — found: Q4994671 Equinox (1993 video game); Q5384519 Equinox (1986 video game); Q1347837 Equinox (implementation of the OSGi framework)
Erang,Q48971892,no musician or group of that name on Wikidata — found: Q114337654 Eranga Nishanthie Vithana (researcher); Q30531400 Erang (family name); Q114601757 Erangu Purath Mohankumar Sajeev (researcher)
Erra,Q30587784,no musician or group of that name on Wikidata — found: Q33093210 Erra (family name); Q1348305 erratum (published correction to a previous publication); Q115152757 Erra (kakatiya ruler)
Escort,Q4045538,no musician or group of that name on Wikidata — found: Q2111029 transport protein (protein that serves the function of moving other materials within an organism); Q3821546 escort (person who provides protection or company to a distinguished guest on an official visit or journey); Q17412892 aerial escort (air combat mission involving protecting other aircraft during their flight)
Ethic,Q122034475,"no musician or group of that name on Wikidata — found: Q237151 medical ethics (system of moral principles of the practice of medicine); Q1132684 research ethics (ethical practice concerning scientific research); Q9465 ethics (branch of philosophy that systematizes, defends, and recommends concepts of right and wrong conduct)"
Euphoria,Q3535998,"no musician or group of that name on Wikidata — found: Q5410650 Euphoria (genus of insects); Q56275505 Euphoria (2019 American teen drama television series); Q192174 Euphoria (song written and composed by Thomas Gustafsson and Peter Boström, originally performed by Loreen Talhaoui at Melodifestivalen 2012 and the 2012 Eurovision Song Contest)"
FM-84,Q19938910,"no musician or group of that name on Wikidata — found: Q130240748 Farm to Market Road 840 (state road in Rusk County, Texas, United States)"
Federation,Q2043175,"no musician or group of that name on Wikidata — found: Q253414 FIFA (international governing body of association football); Q833 Malaysia (country in Southeast Asia); Q1156831 umbrella organization (organization that consists of several thematically, professionally, or regionally related sub-organizations)"
Female,Q16951912,"no musician or group of that name on Wikidata — found: Q6581072 female (to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person); Q43445 female organism (organism of the female sex); Q467 woman (female adult human)"
Fief,Q48971892,"no musician or group of that name on Wikidata — found: Q188063 fiefdom (system of economic and political governance for the land conceded by a lord to a vassal during the Middle Ages in Europe); Q120801 Fieffes-Montrelet (commune in Somme, France); Q372216 Fiefs (commune in Pas-de-Calais, France)"
Fiji,Q136537479 Q7122786,no musician or group of that name on Wikidata — found: Q712 Fiji (island sovereign state in Oceania); Q5425748 Fiji (open source image processing software); Q33295 Fijian (Austronesian language of the Malayo-Polynesian family spoken in Fiji)
Filhos de Gandhy,Q383530,no musician or group of that name on Wikidata — found: Q1412713 Filhos de Gandhy (Afro-brazilian afoxé group)
Fisher,Q598593,"no musician or group of that name on Wikidata — found: Q1158882 Fisher (family name); Q19873191 Fisher (male given name); Q331432 fisher (someone who captures fish and other animals from a body of water, or gathers shellfish)"
Framtid,Q118640020,"no musician or group of that name on Wikidata — found: Q501405 future tense (grammatical tense); Q344 future (events, developments or states in the timeline which have yet to occur); Q140187722 Framtidens skugga (1983 album by Ami Aspelund)"
Frikstailers,Q1143744,no musician or group of that name on Wikidata — no result
Ghost,Q55296418,no musician or group of that name on Wikidata — found: Q45529 ghost (soul or spirit of a dead person or animal that can appear to the living); Q2006428 Ghost (stage musical based on the 1990 movie); Q5557042 Ghost (Swedish record producing and songwriting team)
Gloria,Q870340,no musician or group of that name on Wikidata — found: Q734575 Gloria (female given name); Q107559 Gloria (municipality of the Philippines in the province of Oriental Mindoro); Q37532395 Gloria (family name)
Gong,Q236913 Q727803,no musician or group of that name on Wikidata — found: Q985509 Gong (family name); Q75838610 Gong (male given name); Q16260135 Gong (Chinese family name (龔 / 龚))
Grandmixer DST,Q1046801,no musician or group of that name on Wikidata — no result
Grouch,Q109715837,no musician or group of that name on Wikidata — found: Q18346310 Grouch (2003 video game); Q103846 Groucho Marx (American comedian (1890–1977)); Q124174591 Grouch (family name)
Grupo Bahía,Q5794983,no musician or group of that name on Wikidata — found: Q4842563 Bahia Group (—)
Gut,Q584752,no musician or group of that name on Wikidata — found: Q9639 intestine (alimentary canal of an animal through which food passes after having passed all stomachs); Q5621669 Gut (peer-reviewed scientific journal); Q9282911 Gut (family name)
Gyuto Monks Tantric Choir,Q124670108,no musician or group of that name on Wikidata — no result
Hard Bass School,Q28458027,no musician or group of that name on Wikidata — no result
Harry J Allstars,Q1277532,no musician or group of that name on Wikidata — no result
Hashim,Q1325963,no musician or group of that name on Wikidata — found: Q752665 Hashim (male given name); Q37298236 Hashim (family name); Q57634 Hashim Thaçi (Kosovar politician (born 1968))
Hassan Shakosh,Q25230739,no musician or group of that name on Wikidata — no result
Hazard,Q46649,"no musician or group of that name on Wikidata — found: Q16870621 Hazard (family name); Q1132455 hazard (source of a potential threat); Q1144366 Hazard (city and county seat of Perry County, Kentucky, United States)"
Heavy Nopal,Q5690818,no musician or group of that name on Wikidata — no result
Heroin,Q11363,no musician or group of that name on Wikidata — found: Q62024745 Heroin (vocal track by The Velvet Underground & Nico); Q62024773 Heroin (vocal track by Billy Idol); Q2713312 Heroin (2010 album by Z-Ro)
Hiroshi Wada and Mahina Stars,Q10296747,no musician or group of that name on Wikidata — no result
Hole Dweller,Q112118783,no musician or group of that name on Wikidata — found: Q124485720 Hole Dweller (2024 video game)
Holy Men,Q4706203,no musician or group of that name on Wikidata — found: Q140218534 Holy Men and Hunger Artists (monograph published by Oxford University Press (2003)); Q78812053 Holy Men Travelling to the Buddhist Heaven (painting by anonymous painter); Q123537722 Holy Men & Fools (2005 Film)
Hybrid Minds,Q2082572,no musician or group of that name on Wikidata — no result
Hypnoskull,Q1913888,no musician or group of that name on Wikidata — no result
IQ,Q1051843,no musician or group of that name on Wikidata — found: Q796 Iraq (sovereign state in Western Asia); Q170277 intelligence quotient (score from a test designed to assess intelligence); Q20650538 Qazaq Air (Kazakh airline operating scheduled services from its main hub in Astana and focuses on domestic flights)
Idaho,Q1490170,"no musician or group of that name on Wikidata — found: Q1221 Idaho (state of the United States of America); Q1854488 University of Idaho (public research university in Moscow, Idaho, United States); Q1656608 Idaho State University (research university in eastern Idaho, USA)"
Idealism,Q97265899,no musician or group of that name on Wikidata — found: Q33442 idealism (philosophical view that reality is immaterial); Q378701 perfection (absence of flaws; quality of an ideal object); Q98936799 idealism (personality trait)
Ihhashi Elimhlophe,Q6783396,no musician or group of that name on Wikidata — no result
In/Humanity,Q9253748,no musician or group of that name on Wikidata — no result
Inade,Q12671486,no musician or group of that name on Wikidata — found: Q1364801 sleep deprivation (condition of not having enough sleep); Q2184645 deficiency (lack or shortage of an entity; a less than normal or necessary amount); Q320719 dependent personality disorder (personality disorder that is characterized by a pervasive psychological dependence on other people)
Infest,Q1784106,no musician or group of that name on Wikidata — found: Q902353 Infest (2000 album by Papa Roach); Q167178 scabies (human disease); Q135452613 Infest (2025 video game developed by Chute Apps)
Isabella Yurieva,Q4400837,no musician or group of that name on Wikidata — no result
Iskra,Q28070612,"no musician or group of that name on Wikidata — found: Q20155823 Iskra (female given name); Q4203903 Iskra (village in Svietlahorsk district, Belarus); Q20678132 Iskra (village in Belarus)"
Isole,Q5834708,no musician or group of that name on Wikidata — found: Q3306369 Isolepis (genus of plants); Q23442 island (piece of sub-continental land completely surrounded by water); Q1364549 Isole (French river)
Iwer George,Q109930142,no musician or group of that name on Wikidata — no result
Jagwa Music,Q118255449,no musician or group of that name on Wikidata — found: Q137425586 Jagwa Music (Tanzanian music group)
James Carr,Q1567032 Q96376126,no musician or group of that name on Wikidata — found: Q114247693 James Carr ((born 1875) son of Thomas Carr); Q15820713 James Carr (British film producer); Q1680135 James Carr (American politician (1777-1818))
James Scott,Q185652 Q2976236,"no musician or group of that name on Wikidata — found: Q140235 James Scott, 1st Duke of Monmouth (English nobleman and soldier (1649–1685)); Q108901854 James Scott (radiology professor at University of Calgary); Q108896694 James Scott (emergency medicine professor at George Washington University)"
