wikidata_id,musicbrainz_id,name,parent_wikidata_id,parent_name,level,children_direct,descendants_total,display_rule,epoch_year,origin,group,bpm_min,bpm_max,parent_choice,wikidata_parents_raw,wikipedia_links,featured,family_shape,family_hue
Q107455228,50beaffc-2ba7-4311-a3b3-637e4f155beb,cumbia turra,Q4789437,Argentine cumbia,3,0,0,ring,,,,,,single,Argentine cumbia,0,,,
Q4996773,4b63ad04-4035-487e-84a9-32de15c16fe3,bullerengue,Q723418,cumbia,2,0,0,ring,,Colombia,ANDEAN & PACIFIC CUMBIA,,,single,cumbia | music of the Caribbean,3,,,
Q5794676,42bf7b29-0c26-4826-b7ed-cbdef36e9bb5,Chilean cumbia,Q723418,cumbia,2,0,0,ring,,Chile,ANDEAN & PACIFIC CUMBIA,,,single,cumbia | music of Chile,2,,,
Q115625176,684072e2-ebbf-4962-8634-8ba4a1f03b3a,Colombian cumbia,Q723418,cumbia,2,0,0,ring,,,ANDEAN & PACIFIC CUMBIA,,,single,cumbia | music of Colombia,0,,,
Q5794686,9d93cb70-7696-40a7-ada3-f6904be8a369,cumbia salvadoreña,Q723418,cumbia,2,0,0,ring,,El Salvador,SOUTHERN & MODERN CUMBIA,,,single,cumbia | music of El Salvador,2,,,
Q5794688,d28fd367-2a91-48bb-92b3-86a30f3adbaf,cumbia santafesina,Q723418,cumbia,2,0,0,ring,,,SOUTHERN & MODERN CUMBIA,,,single,cumbia,2,,,
Q6826021,763e78b4-fa84-4052-ac95-cc26f96a7177,Mexican cumbia,Q723418,cumbia,2,2,3,ring,,,SOUTHERN & MODERN CUMBIA,,,auto,cumbia | regional Mexican,3,,,
Q5794682,b02f0643-1821-4482-9df5-83dd94c8b655,cumbia norteña mexicana,Q6826021,Mexican cumbia,3,0,0,ring,,Mexico,,,,single,Mexican cumbia,2,,,
Q108297224,2d8be232-a8cd-48d0-8e6a-05f6a99330a4,cumbia sonidera,Q6826021,Mexican cumbia,3,1,1,ring,,,,,,single,Mexican cumbia,0,,,
Q85867089,db10b353-89f1-412a-830e-af3eb5fb8416,cumbia rebajada,Q108297224,cumbia sonidera,4,0,0,ring,,,,,,single,cumbia sonidera,2,,,
Q9051042,7f65be3e-dbbd-4878-83b8-b82f850f07bb,new Chilean cumbia,Q723418,cumbia,2,0,0,ring,,Chile,ANDEAN & PACIFIC CUMBIA,,,single,cumbia,4,,,
Q125850367,8d258f3b-3f65-442c-973b-57c8cfd40dd4,cuplé,Q18345375,Latin music,1,0,0,ring,,Spain,DANCE & CARNIVAL > SONG FORMS,,,single,couplet | music of Spain,6,,,
Q5794983,f5994a85-6bcc-4e85-9a1b-4271b6ae97c2,currulao,Q18345375,Latin music,1,0,0,ring,,Colombia,THE ANDES & THE PACIFIC > COLOMBIA & VENEZUELA,,,single,music of Latin America,2,,,
