wikidata_id,name,kind,start,country,image,sitelinks
Q1395969,Frost,person,1982,United States,Kid-Frost.jpg,16
Q1268,Frédéric Chopin,person,1817,Congress Poland,"Chopin, by Wodzinska.JPG",200
Q253990,Fréhel,person,1908,France,Pervenche(frehel)1908.jpg,26
Q137769,Fu Manchu,group,1987,United States,Hellfest2019FuManchu 02.jpg,16
Q118466501,Fuerza Regida,group,2015,United States,Fuerza Regida - Capital One Arena - Washington D.C..jpeg,7
Q277865,Fugazi,group,1987,United States,FUGAZI 3 (19729214472).jpg,36
Q475963,Fulanito,group,1996,Dominican Republic,Fulanito En La Puerta Grande.jpg,4
Q3090771,Full Intention,group,1990,United Kingdom,,4
Q523957,Funkadelic,group,1968,United States,George Clinton 2006.jpg,22
Q3445057,Future,person,2003,United States,Future - Openair Frauenfeld 2019 05.jpg,41
Q5872203,Félix Chappottín,person,1919,Cuba,Conjunto Chappottín.jpg,4
Q594644,Félix Leclerc,person,1950,Canada,Félix Leclerc.jpg,17
Q17811716,G Herbo,person,2011,United States,G Herbo in 2021.png,13
Q665090,G.E.M.,person,2008,People's Republic of China,2018.09.22 大连商演 邓紫棋 (1).jpg,26
Q1488078,Gabby Pahinui,person,1921,United States,,7
Q118119939,Gabito Ballesteros,person,1999,Mexico,,2
Q104919,Gabriel Fauré,person,1861,France,FauréPirou1905.jpg,66
Q4123831,Gaby Amarantos,person,1995,Brazil,Gaby Amarantos em 2024.png,11
Q2320232,Gaither Vocal Band,group,1981,United States,Gvb.jpg,9
Q236361,Gal Costa,person,1965,Brazil,Gal Costa Tom Brasil (46108513412).jpg,36
Q176240,Galaxie 500,group,1987,United States,DeanWareham 2007.jpg,18
Q286110,Galliano,group,1988,United Kingdom,,9
Q1346345,Galt MacDermot,person,1957,United States,Galt MacDermot 1972.jpg,15
Q154129,Gamma Ray,group,1988,Germany,Gamma Ray Rockharz 2016 01.jpg,35
Q3095041,Gammer,person,2000,United Kingdom,Dougal++Gammer.jpg,3
Q15132019,Gana Bala,person,2007,India,Gana Bala.JPG,2
Q18275264,Gang do Eletro,group,,Brazil,Brasil adentro gang do eletro.jpg,2
Q1130624,Gang of Four,group,1977,United Kingdom,Gang of Four in Chicago.jpg,28
Q844524,Gang Starr,group,1985,United States,DJ Premier and Guru.jpg,29
Q731422,Gangubai Hangal,person,1931,Dominion of India,Gangubai Hangal.jpg,26
Q555552,Gareth Emery,person,2002,United Kingdom,Gareth Emery.jpg,21
Q10288367,Garota Safada,group,2003,Brazil,,1
Q216288,Garth Brooks,person,1985,United States,Garth Brooks 2019 By Glenn Francis.jpg,51
Q1153310,Gary Clark Jr.,person,1996,United States,"Gary Clark, Jr. 2013.jpg",27
Q331731,Gary Numan,person,1975,United Kingdom,Gary Numan 2011.jpg,39
Q3550458,Gary Valenciano,person,1978,Philippines,Gary Valenciano in Toronto 2014 02.jpg,13
Q5526109,Gary War,person,1999,United States,,1
Q3753186,Gato Pérez,person,1951,Spain,,6
Q696898,Gaye Bykers on Acid,group,1984,United Kingdom,,5
Q361329,Gazebo,person,1982,Italy,Paul Mazzolini Gazebo.jpg,30
Q601984,GBH,group,1978,United Kingdom,GBH live in 2006.jpg,16
Q55902818,Gemmy Brandus,person,1823,,,0
Q342723,Gene Autry,person,1907,United States,"Gene Autry, NPG 94 39.jpg",45
Q711442,Gene Chandler,person,1957,United States,Gene Chandler.jpg,13
Q82311,Gene Vincent,person,1955,United States,Genevincent015e.jpg,39
